2025-02-26 13:56:18,747 - evaluate - INFO - Evaluate Model: MAE: 1472.0473429145604, MSE: 7123085.228252235, R2: 0.9598556449559026 


2025-02-26 13:56:55,279 - evaluate - INFO - Evaluate Model: MAE: 1179.6368215771697, MSE: 5906653.163786508, R2: 0.9667112249634604 


2025-02-26 13:58:09,995 - evaluate - INFO - Evaluate Model: MAE: 1088.2685013499581, MSE: 5529548.390415409, R2: 0.9688365158207127 


2025-02-26 13:59:04,406 - evaluate - INFO - Evaluate Model: MAE: 1104.3229327865781, MSE: 5541818.927180924, R2: 0.9687673614067598 


2025-02-26 14:03:10,478 - evaluate - INFO - Evaluate Model: MAE: 1347.0591177530596, MSE: 6628124.829158735, R2: 0.9626451477285449 


2025-02-26 14:04:27,841 - evaluate - INFO - Evaluate Model: MAE: 1104.3229327865781, MSE: 5541818.927180924, R2: 0.9687673614067598 


2025-02-26 14:05:14,162 - evaluate - INFO - Evaluate Model: MAE: 1104.3229327865781, MSE: 5541818.927180924, R2: 0.9687673614067598 


2025-02-26 14:06:38,818 - evaluate - INFO - Evaluate Model: MAE: 1625.157925617171, MSE: 8014626.212143826, R2: 0.9548310893529802 


2025-02-26 14:07:26,946 - evaluate - INFO - Evaluate Model: MAE: 1209.1387258175387, MSE: 6105441.612305072, R2: 0.9655908910350746 


2025-02-26 14:08:26,158 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:31:12,063 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:34:11,967 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:37:40,943 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:38:35,371 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:40:23,031 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:43:32,349 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:48:51,509 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:50:10,536 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


2025-03-03 08:52:46,389 - evaluate - INFO - Evaluate Model: MAE: 1209.1311154945317, MSE: 6105567.270026586, R2: 0.9655901828520297 


